video_id,gloss,handshape,ext_finger,palm_ori,location,movement,contact,two_handed
69241,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
07069,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
07068,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
07070,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
07099,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
07074,book,hamflathand,hamextfingeru,hampalmu,hamchest,hammoveo,hamtouch,hamsymmlr
69302,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
65539,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17710,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17733,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
65540,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17734,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17711,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17712,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17713,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17709,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17720,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17721,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17722,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17723,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
17724,drink,hamcee12,hamextfingeru,hampalml,hamlips,hammoveu,hamtouch,none
12328,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
12312,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
12311,computer,hamcee12,hamextfingeru,hampalml,hamforehead,hamcircleo,none,hamsymmlr
